Name,Type,VarType,Description,Description:Description,Logging,Logging:Deadband,Logging:LogData,Logging:LogEvents,Logging:ValueRes,Network,Network:BuffSize,Network:SingleWriter,Network:UseBinding,Network:UseBuffering,Path
BAS_Proc1_DI_Total,Double,Network,on,DI add to Proc 1,on,0.01,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
BAS_Proc1_Oxide_FlowRate,Double,Network,on,Flow to oxide system 1,on,0.01,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
BAS_Proc1_P,Double,Network,on,Pressure of process 1 just after heat exchanger,on,0.01,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
BAS_Proc1_T,Double,Network,on,Temperature of process 1 just after heat exchanger,on,0.01,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
BAS_Proc1_Tank_Level,Double,Network,on,Process 1 Sump Level in Liters,on,0.01,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
BAS_Proc2_DI_Total,Double,Network,on,DI add to Proc 2,on,0.01,TRUE,TRUE,0.005,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
BAS_Proc2_Oxide_FlowRate,Double,Network,on,Flow to oxide system 2,on,0.01,TRUE,TRUE,0.005,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
BAS_Proc2_P,Double,Network,on,Pressure of process 2 just after heat exchanger,on,0.01,TRUE,TRUE,0.005,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
BAS_Proc2_T,Double,Network,on,Temperature of process 2 just after heat exchanger,on,0.01,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
BAS_Proc2_Tank_Level,Double,Network,on,Process 2 Sump Level in Liters,on,0.01,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
BAS_Proc3_DI_Total,Double,Network,on,DI add to Proc 3,on,0.01,TRUE,TRUE,0.005,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
BAS_Proc3_Oxide_FlowRate,Double,Network,on,Flow to oxide system 3,on,0.01,TRUE,TRUE,0.005,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
BAS_Proc3_P,Double,Network,on,Pressure of process 3 just after heat exchanger,on,0.01,TRUE,TRUE,0.005,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
BAS_Proc3_T,Double,Network,on,Temperature of process 3 just after heat exchanger,on,0.01,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
BAS_Proc3_Tank_Level,Double,Network,on,Process 3 Sump Level in Liters,on,0.01,TRUE,TRUE,0.005,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
BAS_Proc4_DI_Total,Double,Network,on,DI add to Proc Mix Tank,on,0.01,TRUE,TRUE,0.005,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
BAS_Proc4_Tank_Level,Double,Network,on,Mixing / Carbon treat Sump Level in Liters,on,0.01,TRUE,TRUE,0.005,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
FAC_BoilerWater_In_T,Double,Network,on,Temperature of Fac boiler water in,on,0.025,TRUE,TRUE,0.005,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
FAC_BoilerWater_Out_T,Double,Network,on,Temperature of Fac boiler water out,on,0.025,TRUE,TRUE,0.005,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
FAC_ColdWater_In_T,Double,Network,on,Temperature ofFac cold water in,on,0.025,TRUE,TRUE,0.005,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
FAC_ColdWater_Out_T,Double,Network,on,Temperature of Fac cold water out,on,0.025,TRUE,TRUE,0.005,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
FAC_TemperedWater_In_T,Double,Network,on,Temperature of Fac tempered water in,on,0.025,TRUE,TRUE,0.005,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
FAC_TemperedWater_Out_T,Double,Network,on,Temperature of Fac tempered water out,on,0.025,TRUE,TRUE,0.005,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
IO_Proc1_Chilled_Valv_Pos,Double,Network,on,Mixer valve position,on,0.01,TRUE,TRUE,0.005,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
IO_Proc1_Tempered_Valv_Pos,Double,Network,on,Mixer valve position,on,0.01,TRUE,TRUE,0.005,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
IO_Proc2_Chilled_Valv_Pos,Double,Network,on,Mixer valve position,on,0.01,TRUE,TRUE,0.005,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
IO_Proc2_Tempered_Valv_Pos,Double,Network,on,Mixer valve position,on,0.01,TRUE,TRUE,0.005,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
IO_Proc3_Boiler_Valv_Pos,Double,Network,on,Mixer valve position,on,0.01,TRUE,TRUE,0.005,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
IO_Proc3_Chilled_Valv_Pos,Double,Network,on,Mixer valve position,on,0.01,TRUE,TRUE,0.005,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
IO_Proc3_Tempered_Valv_Pos,Double,Network,on,Mixer valve position,on,0.01,TRUE,TRUE,0.005,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
Rect1_ActlAmpMins,Double,Network,,,on,0.01,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
Rect1_ActlCurrentFwd,Double,Network,,,on,0.01,TRUE,TRUE,0.0025,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
Rect1_ActlVolts,Double,Network,,,on,0.01,TRUE,TRUE,0.0025,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
Rect2_ActlAmpMins,Double,Network,,,on,0.01,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
Rect2_ActlCurrentFwd,Double,Network,,,on,0.01,TRUE,TRUE,0.0025,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
Rect2_ActlVolts,Double,Network,,,on,0.01,TRUE,TRUE,0.0025,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
TNK1_Flow1,Double,Network,,,on,0.05,TRUE,TRUE,0.005,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
TNK1_Flow2,Double,Network,,,on,0.05,TRUE,TRUE,0.005,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
TNK1_Flow3,Double,Network,,,on,0.05,TRUE,TRUE,0.005,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
TNK1_Flow4,Double,Network,,,on,0.05,TRUE,TRUE,0.005,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
TNK1_Level,Double,Network,,,on,0.01,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
TNK1_SuckFlow,Double,Network,,,on,0.05,TRUE,TRUE,0.005,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
TNK1_Temperature,Double,Network,,,on,0.01,TRUE,TRUE,0.005,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
TNK12_MainPressure,Double,Network,,,on,0.01,TRUE,TRUE,0.005,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
TNK2_Flow1,Double,Network,,,on,0.05,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
TNK2_Flow2,Double,Network,,,on,0.05,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
TNK2_Flow3,Double,Network,,,on,0.05,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
TNK2_Flow4,Double,Network,,,on,0.05,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
TNK2_Level,Double,Network,,,on,0.01,TRUE,TRUE,0.005,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
TNK2_SuckFlow,Double,Network,,,on,0.05,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
TNK2_Temperature,Double,Network,,,on,0.01,TRUE,TRUE,0.0025,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
Main_Elect_Cab_T,Double,Network,,,on,0.01,TRUE,TRUE,0.0025,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
BAS_Proc4_H2SO4_Total,Double,Network,on,Sulfuric add to Bas Mix,on,0.01,TRUE,TRUE,0.005,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
BAS_Proc1_Total_Flow,Double,Network,,,on,0.1,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
BAS_Proc2_Total_Flow,Double,Network,,,on,0.1,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
TNK3_Temperature,Double,Network,,,on,0.01,TRUE,TRUE,0.0025,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
TNK4_Temperature,Double,Network,,,on,0.01,TRUE,TRUE,0.0025,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
TNK34_MainPressure,Double,Network,,,on,0.01,TRUE,TRUE,0.0025,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
TNK3_Flow1,Double,Network,,,on,0.05,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
TNK3_Flow2,Double,Network,,,on,0.05,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
TNK3_Flow3,Double,Network,,,on,0.05,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
TNK3_Flow4,Double,Network,,,on,0.05,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
TNK3_SuckFlow,Double,Network,,,on,0.05,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
TNK4_Flow1,Double,Network,,,on,0.05,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
TNK4_Flow2,Double,Network,,,on,0.05,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
TNK4_Flow3,Double,Network,,,on,0.05,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
TNK4_Flow4,Double,Network,,,on,0.05,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
TNK4_SuckFlow,Double,Network,,,on,0.05,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
Rect3_ActlAmpMins,Double,Network,,,on,0.01,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
Rect3_ActlCurrentFwd,Double,Network,,,on,0.01,TRUE,TRUE,0.0025,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
Rect3_ActlVolts,Double,Network,,,on,0.01,TRUE,TRUE,0.0025,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
Rect4_ActlAmpMins,Double,Network,,,on,0.01,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
Rect4_ActlCurrentFwd,Double,Network,,,on,0.01,TRUE,TRUE,0.0025,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
Rect4_ActlVolts,Double,Network,,,on,0.01,TRUE,TRUE,0.0025,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
