Name,Type,VarType,Description,Description:Description,Logging,Logging:Deadband,Logging:LogData,Logging:LogEvents,Logging:ValueRes,Network,Network:BuffSize,Network:SingleWriter,Network:UseBinding,Network:UseBuffering,Path
Rect5_ActlAmpMins,Double,Network,,,on,0.01,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
Rect5_ActlCurrent,Double,Network,,,on,0.01,TRUE,TRUE,0.0025,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
Rect5_ActlVolts,Double,Network,,,on,0.01,TRUE,TRUE,0.0025,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
Rect6_ActlAmpMins,Double,Network,,,on,0.01,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
Rect6_ActlCurrent,Double,Network,,,on,0.01,TRUE,TRUE,0.0025,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
Rect6_ActlVolts,Double,Network,,,on,0.01,TRUE,TRUE,0.0025,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
Rect7_ActlAmpMins,Double,Network,,,on,0.01,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
Rect7_ActlCurrent,Double,Network,,,on,0.01,TRUE,TRUE,0.0025,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
Rect7_ActlVolts,Double,Network,,,on,0.01,TRUE,TRUE,0.0025,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
Rect8_ActlAmpMins,Double,Network,,,on,0.01,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
Rect8_ActlCurrent,Double,Network,,,on,0.01,TRUE,TRUE,0.0025,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
Rect8_ActlVolts,Double,Network,,,on,0.01,TRUE,TRUE,0.0025,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
Rinse2_Conductivity,Double,Network,,,on,0.01,TRUE,TRUE,0.0025,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
Rinse2_Flow_Total,Double,Network,,,on,0.01,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
Rinse3_Conductivity,Double,Network,,,on,0.01,TRUE,TRUE,0.0025,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
Rinse3_Flow_Total,Double,Network,,,on,0.01,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
Acid3_Level,Double,Network,,,on,0.01,TRUE,TRUE,0.005,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
AcidTnk3_Tank_T,Double,Network,,,on,0.01,TRUE,TRUE,0.0025,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
Acid3_Temperature,Double,Network,,,on,0.01,TRUE,TRUE,0.0025,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
Acid3_CondTemperature,Double,Network,,,on,0.01,TRUE,TRUE,0.0025,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
Acid3_Flow,Double,Network,,,on,0.1,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
Acid3_Conductivity,Double,Network,,,on,0.01,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
Rinse2_Flow,Double,Network,,,on,0.01,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
Rinse3_Flow,Double,Network,,,on,0.01,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
Rinse1_Flow,Double,Network,,,on,0.01,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
Rinse4_Flow,Double,Network,,,on,0.01,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
Rinse4_Conductivity,Double,Network,,,on,0.01,TRUE,TRUE,0.0025,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
Rinse4_Flow_Total,Double,Network,,,on,0.01,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
Dryer_Temperature,Double,Network,,,on,0.01,TRUE,TRUE,0.0025,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
Dryer_BlrWtrActl,Double,Network,,,on,0.01,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
Etch_Flow,Double,Network,,,on,0.1,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
Acid2_Flow,Double,Network,,,on,0.1,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
Etch_Level,Double,Network,,,on,0.01,TRUE,TRUE,0.005,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
Acid2_Level,Double,Network,,,on,0.01,TRUE,TRUE,0.005,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
Etch_Temperature,Double,Network,,,on,0.01,TRUE,TRUE,0.0025,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
Acid2_Temperature,Double,Network,,,on,0.01,TRUE,TRUE,0.0025,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
AcidTnk2_Tank_T,Double,Network,,,on,0.01,TRUE,TRUE,0.0025,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
EtchTnk_Tank_T,Double,Network,,,on,0.01,TRUE,TRUE,0.0025,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
PlenumWtrExit_T,Double,Network,,,on,0.01,TRUE,TRUE,0.0025,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
TNK5_Temperature,Double,Network,,,on,0.01,TRUE,TRUE,0.0025,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
BAS_Proc3_Total_Flow,Double,Network,,,on,0.1,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
TNK5_Flow1,Double,Network,,,on,0.05,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
TNK5_Flow2,Double,Network,,,on,0.05,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
TNK5_Flow3,Double,Network,,,on,0.05,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
TNK5_Flow4,Double,Network,,,on,0.05,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
TNK5_SuckFlow,Double,Network,,,on,0.05,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
TNK56_MainPressure,Double,Network,,,on,0.01,TRUE,TRUE,0.0025,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
Proc1_Total_Flow,Double,Network,,,on,0.05,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
Proc2_Total_Flow,Double,Network,,,on,0.05,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
Proc3_Total_Flow,Double,Network,,,on,0.05,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
Proc4_Total_Flow,Double,Network,,,on,0.05,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
Proc5_Total_Flow,Double,Network,,,on,0.05,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
Proc6_Total_Flow,Double,Network,,,on,0.05,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
TNK3_Level,Double,Network,,,on,0.01,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
TNK4_Level,Double,Network,,,on,0.01,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
TNK5_Level,Double,Network,,,on,0.01,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
TNK6_Flow1,Double,Network,,,on,0.05,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
TNK6_Flow2,Double,Network,,,on,0.05,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
TNK6_Flow3,Double,Network,,,on,0.05,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
TNK6_Flow4,Double,Network,,,on,0.05,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
TNK6_SuckFlow,Double,Network,,,on,0.05,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
TNK6_Temperature,Double,Network,,,on,0.01,TRUE,TRUE,0.0025,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
TNK6_ProcVlv1_ActlPos,Double,Network,,,on,0.01,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
TNK5_ProcVlv1_ActlPos,Double,Network,,,on,0.01,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
TNK4_ProcVlv1_ActlPos,Double,Network,,,on,0.01,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
TNK3_ProcVlv1_ActlPos,Double,Network,,,on,0.01,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
TNK2_ProcVlv1_ActlPos,Double,Network,,,on,0.01,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
TNK1_ProcVlv1_ActlPos,Double,Network,,,on,0.01,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
TNK6_Level,Double,Network,,,on,0.01,TRUE,TRUE,0.01,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
Proc1_TotalAmpMin,Double,Network,,,on,0.01,TRUE,TRUE,0.1,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
Proc2_TotalAmpMin,Double,Network,,,on,0.01,TRUE,TRUE,0.1,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
Proc3_TotalAmpMin,Double,Network,,,on,0.01,TRUE,TRUE,0.1,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
HMI_TotalOxDosed_P1,Double,Network,,,on,0.01,TRUE,TRUE,0.1,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
HMI_TotalOxDosed_P2,Double,Network,,,on,0.01,TRUE,TRUE,0.1,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
HMI_TotalOxDosed_P3,Double,Network,,,on,0.01,TRUE,TRUE,0.1,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
HMI_TotalLevDosed_P1,Double,Network,,,on,0.01,TRUE,TRUE,0.1,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
HMI_TotalLevDosed_P2,Double,Network,,,on,0.01,TRUE,TRUE,0.1,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
HMI_TotalLevDosed_P3,Double,Network,,,on,0.01,TRUE,TRUE,0.1,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
HMI_TotalSPSDosed_P1,Double,Network,,,on,0.01,TRUE,TRUE,0.1,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
HMI_TotalSPSDosed_P2,Double,Network,,,on,0.01,TRUE,TRUE,0.1,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
HMI_TotalSPSDosed_P3,Double,Network,,,on,0.01,TRUE,TRUE,0.1,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
HMI_TotalAcidDosed_P1,Double,Network,,,on,0.01,TRUE,TRUE,0.1,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
HMI_TotalAcidDosed_P2,Double,Network,,,on,0.01,TRUE,TRUE,0.1,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
HMI_TotalAcidDosed_P3,Double,Network,,,on,0.01,TRUE,TRUE,0.1,on,,FALSE,FALSE,FALSE,/SCADA Data HUT Labs.lvproj/My Computer/CDL0100 scada tags.lvlib/
